"Date","High price","Low price","Closing price"
"2000-10-16","119.00","119.00","119.00"
"2000-10-17","122.50","121.50","121.50"
"2000-10-19","121.50","120.50","120.50"
"2000-10-25","123.40","123.40","123.40"
"2000-10-27","123.20","123.20","123.20"
"2000-10-30","122.60","122.00","122.60"
"2000-10-31","122.60","122.60","122.60"
"2000-11-01","122.10","122.10","122.10"
"2000-11-02","121.40","121.40","121.40"
"2000-11-06","121.70","121.70","121.70"
"2000-11-07","121.70","121.70","121.70"
"2000-11-09","123.00","123.00","123.00"
"2000-11-10","120.70","120.70","120.70"
"2000-11-14","120.70","120.70","120.70"
"2000-11-15","121.10","121.10","121.10"
"2000-11-20","121.40","121.40","121.40"
"2000-11-21","119.50","119.50","119.50"
"2000-11-27","119.50","119.50","119.50"
"2000-11-28","118.30","118.30","118.30"
"2000-11-29","117.50","117.50","117.50"
"2000-11-30","115.90","115.90","115.90"
"2000-12-11","115.40","115.00","115.00"
"2000-12-12","116.00","115.50","115.50"
"2000-12-13","117.00","117.00","117.00"
"2000-12-14","116.00","116.00","116.00"
"2000-12-19","115.20","115.20","115.20"
"2000-12-22","109.70","109.70","109.70"
"2000-12-27","109.00","109.00","109.00"
"2000-12-28","109.30","109.30","109.30"
"2001-01-03","108.80","108.80","108.80"
"2001-01-04","113.00","111.50","111.50"
"2001-01-08","110.80","110.80","110.80"
"2001-01-11","113.40","113.40","113.40"
"2001-01-12","113.50","113.50","113.50"
"2001-01-16","114.20","114.20","114.20"
"2001-01-18","115.40","115.40","115.40"
"2001-01-19","117.30","116.30","116.30"
"2001-01-22","116.80","116.80","116.80"
"2001-01-24","117.30","117.30","117.30"
"2001-01-25","118.50","118.50","118.50"
"2001-02-05","119.00","119.00","119.00"
"2001-02-06","119.90","119.90","119.90"
"2001-02-07","120.90","118.00","120.90"
"2001-02-09","120.80","120.80","120.80"
"2001-02-13","118.50","118.50","118.50"
"2001-02-14","119.00","119.00","119.00"
"2001-02-19","120.80","120.80","120.80"
"2001-02-21","121.00","121.00","121.00"
"2001-02-22","120.10","118.50","120.10"
"2001-02-27","120.00","120.00","120.00"
"2001-03-01","119.50","119.50","119.50"
"2001-03-08","119.00","119.00","119.00"
"2001-03-09","119.10","119.10","119.10"
"2001-03-12","118.40","118.40","118.40"
"2001-03-13","117.20","117.20","117.20"
"2001-03-14","118.10","116.00","116.00"
"2001-03-15","117.30","117.30","117.30"
"2001-03-19","119.50","118.00","118.00"
"2001-03-20","118.00","118.00","118.00"
"2001-03-23","117.80","117.75","117.75"
"2001-04-04","115.20","115.20","115.20"
"2001-04-09","118.20","118.20","118.20"
"2001-04-11","121.70","121.70","121.70"
"2001-04-18","122.60","122.60","122.60"
"2001-04-19","123.50","123.50","123.50"
"2001-04-20","120.00","120.00","120.00"
"2001-04-23","117.60","117.60","117.60"
"2001-04-24","119.20","118.40","119.20"
"2001-04-25","119.70","119.70","119.70"
"2001-04-26","118.90","118.90","118.90"
"2001-04-27","119.80","119.80","119.80"
"2001-04-30","121.00","121.00","121.00"
"2001-05-03","123.70","123.70","123.70"
"2001-05-04","122.25","122.25","122.25"
"2001-05-07","124.00","124.00","124.00"
"2001-05-08","123.50","123.50","123.50"
"2001-05-10","122.80","122.80","122.80"
"2001-05-16","124.10","124.10","124.10"
"2001-05-18","124.80","123.80","123.80"
"2001-05-21","124.30","124.30","124.30"
"2001-05-22","126.90","126.90","126.90"
"2001-05-25","128.90","128.90","128.90"
"2001-05-28","128.50","127.00","127.00"
"2001-05-30","128.20","127.00","128.00"
"2001-05-31","127.50","126.30","127.50"
"2001-06-01","128.70","128.00","128.70"
